,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,BCH-USD,0.0054976427967318555,13.0
1,UMA-USD,COMP-USD,0.050193700105669606,14.0
2,UMA-USD,ALGO-USD,15.535938856630805,13.0
3,UMA-USD,FIL-USD,0.4313674765770286,5.0
4,UMA-USD,MATIC-USD,3.98253026328358,22.0
5,UMA-USD,CRV-USD,5.969179621643874,7.0
6,UMA-USD,CELO-USD,3.3761929947041054,8.0
7,UMA-USD,1INCH-USD,6.500427299004289,10.0
8,UMA-USD,AVAX-USD,0.07658051958842477,12.0
9,UMA-USD,SNX-USD,0.9192238880150301,9.0
10,UMA-USD,UNI-USD,0.3494850589286785,18.0
11,SOL-USD,ZEC-USD,6.42996874801546,6.0
12,SOL-USD,LINK-USD,10.07163909211037,8.0
13,SOL-USD,YFI-USD,0.020790504570334874,10.0
14,SOL-USD,COMP-USD,2.500196291241345,24.0
15,SOL-USD,ALGO-USD,774.0632094987828,17.0
16,SOL-USD,DOT-USD,20.694753107706262,10.0
17,SOL-USD,ADA-USD,300.41640183850166,8.0
18,SOL-USD,ZRX-USD,268.63183264361874,22.0
19,SOL-USD,ATOM-USD,16.560153212216846,11.0
20,SOL-USD,LTC-USD,1.7627418427437083,7.0
21,ZEC-USD,ETC-USD,0.8175367060046597,9.0
22,ZEC-USD,LINK-USD,1.5660728748978732,6.0
23,ZEC-USD,COMP-USD,0.3888801874696556,16.0
24,ZEC-USD,ALGO-USD,120.3880223654972,11.0
25,ZEC-USD,NEAR-USD,3.899071237439965,7.0
26,ZEC-USD,DOT-USD,3.2183635465065454,5.0
27,ZEC-USD,CELO-USD,26.1433250616732,20.0
28,ZEC-USD,ADA-USD,46.717411625931206,6.0
29,ZEC-USD,ZRX-USD,41.786710220390944,15.0
30,ZEC-USD,AVAX-USD,0.5932452513837261,20.0
31,ZEC-USD,SNX-USD,7.117937296576596,24.0
32,ZEC-USD,XLM-USD,205.90186606524392,19.0
33,ZEC-USD,LTC-USD,0.2740885993779314,7.0
34,AAVE-USD,ENJ-USD,270.28058857545915,6.0
35,ETC-USD,XTZ-USD,26.459344406534488,6.0
36,ETC-USD,LINK-USD,1.9151444994397293,5.0
37,ETC-USD,YFI-USD,0.003952250398609401,19.0
38,ETC-USD,COMP-USD,0.47551841001521666,17.0
39,ETC-USD,ALGO-USD,147.22306218060487,10.0
40,ETC-USD,MATIC-USD,37.76454224364375,9.0
41,ETC-USD,DOT-USD,3.935276080401617,9.0
42,ETC-USD,ADA-USD,57.12588725680714,7.0
43,ETC-USD,AVAX-USD,0.7255555629140796,21.0
44,ETC-USD,SNX-USD,8.70493869861845,19.0
45,ETC-USD,ATOM-USD,3.148921148386066,11.0
46,XTZ-USD,LINK-USD,0.07235863645606656,8.0
47,XTZ-USD,DOGE-USD,6.53951842486387,10.0
48,XTZ-USD,ENJ-USD,2.939930072969235,23.0
49,XTZ-USD,AVAX-USD,0.027412044813378018,20.0
50,LINK-USD,YFI-USD,0.0020635344719579047,21.0
51,LINK-USD,COMP-USD,0.24829364390134892,18.0
52,LINK-USD,ALGO-USD,76.86868419909258,11.0
53,LINK-USD,ADA-USD,29.827090989883732,7.0
54,LINK-USD,AVAX-USD,0.37883295053442567,24.0
55,BCH-USD,AVAX-USD,13.91615412594273,14.0
56,XMR-USD,YFI-USD,0.016450322722727725,24.0
57,XMR-USD,TRX-USD,1089.3496193356357,5.0
58,XMR-USD,BTC-USD,0.001880500195665388,7.0
59,XMR-USD,ETH-USD,0.038241283120888786,8.0
60,YFI-USD,DOGE-USD,43754.102271291464,16.0
61,YFI-USD,DOT-USD,994.8859601345924,18.0
62,YFI-USD,ATOM-USD,795.8524928809945,24.0
63,YFI-USD,LTC-USD,84.74393663581021,12.0
64,RUNE-USD,COMP-USD,0.0996532647482793,20.0
65,RUNE-USD,ALGO-USD,30.84335612323058,21.0
66,RUNE-USD,CRV-USD,11.851121908810976,9.0
67,RUNE-USD,AVAX-USD,0.15204043396959613,18.0
68,DOGE-USD,ENJ-USD,0.4490701277396544,22.0
69,COMP-USD,ALGO-USD,309.51126544421226,3.0
70,COMP-USD,FIL-USD,8.585695897386282,17.0
71,COMP-USD,NEAR-USD,10.019946538334404,8.0
72,COMP-USD,DOT-USD,8.268964993945144,21.0
73,COMP-USD,CELO-USD,67.23593551605354,4.0
74,COMP-USD,ZRX-USD,107.44400592015043,7.0
75,ALGO-USD,FIL-USD,0.027732481862044835,17.0
76,ALGO-USD,MATIC-USD,0.25640383084146623,7.0
77,ALGO-USD,CRV-USD,0.38374934097272534,23.0
78,ALGO-USD,DOT-USD,0.02671667181792608,11.0
79,ALGO-USD,CELO-USD,0.21719947043859736,6.0
80,ALGO-USD,ADA-USD,0.3877818090067195,13.0
81,ALGO-USD,AVAX-USD,0.00492823447540466,6.0
82,ALGO-USD,SNX-USD,0.05913828825592486,6.0
83,ALGO-USD,LTC-USD,0.002274486806229125,21.0
84,FIL-USD,CELO-USD,7.826323653761251,6.0
85,FIL-USD,ZRX-USD,12.504146825399706,11.0
86,FIL-USD,AVAX-USD,0.17750971776510355,15.0
87,FIL-USD,SNX-USD,2.130577655604118,10.0
88,MATIC-USD,AVAX-USD,0.01921349478417543,15.0
89,MATIC-USD,SNX-USD,0.23053688011696044,16.0
90,TRX-USD,BTC-USD,1.7261335288589434e-06,6.0
91,TRX-USD,ETH-USD,3.5094822063222764e-05,13.0
92,CRV-USD,CELO-USD,0.5654868348207118,12.0
93,CRV-USD,AVAX-USD,0.012827633648877873,17.0
94,CRV-USD,SNX-USD,0.1539586781242546,14.0
95,NEAR-USD,CELO-USD,6.702124265838437,11.0
96,NEAR-USD,ZRX-USD,10.712681501382308,9.0
97,NEAR-USD,XLM-USD,52.7584828062703,18.0
98,DOT-USD,CELO-USD,8.122923929478343,17.0
99,DOT-USD,ADA-USD,14.513854752689411,7.0
100,DOT-USD,ZRX-USD,12.983359235317307,16.0
101,DOT-USD,AVAX-USD,0.18433630920644356,19.0
102,DOT-USD,SNX-USD,2.211576740491412,21.0
103,BTC-USD,ETH-USD,20.33131059250799,14.0
104,CELO-USD,ADA-USD,1.7840333926039866,22.0
